mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	3	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	3	3/4	3/4	0						3
3	3	6	3.0	3	3/4	3/4	0				line		4
4	4	9	3.0	3	3/4	3/4	0						5
5	5	12	3.0	3	3/4	3/4	0						6
6	6	15	3.0	3	3/4	3/4	0				line		7
7	7	18	3.0	3	3/4	3/4	0						8
8	8	21	3.0	3	3/4	3/4	0						9
9	9	24	3.0	3	3/4	3/4	0				line		10
10	10	27	3.0	3	3/4	3/4	0						11
11	11	30	3.0	3	3/4	3/4	0						12
12	12	33	3.0	3	3/4	3/4	0				page		13
13	13	36	3.0	3	3/4	3/4	0						14
14	14	39	3.0	3	3/4	3/4	0						15
15	15	42	3.0	3	3/4	3/4	0				line		16
16	16	45	3.0	3	3/4	3/4	0						17
17	17	48	3.0	3	3/4	3/4	0						18
18	18	51	3.0	3	3/4	3/4	0				line		19
19	19	54	3.0	3	3/4	3/4	0						20
20	20	57	3.0	3	3/4	3/4	0						21
21	21	60	4.0	3	4/4	1	0				line		22
22	22	64	3.0	3	3/4	3/4	0						23
23	23	67	3.0	3	3/4	3/4	0						24
24	24	70	3.0	3	3/4	3/4	0				line		25
25	25	73	3.0	3	3/4	3/4	0						26
26	26	76	3.0	3	3/4	3/4	0						27
27	27	79	3.0	3	3/4	3/4	0				line		28
28	28	82	3.0	3	3/4	3/4	0						29
29	29	85	3.0	3	3/4	3/4	0						30
30	30	88	3.0	3	3/4	3/4	0				line		31
31	31	91	3.0	3	3/4	3/4	0			double			32
32	32	94	3.0	6	3/4	3/4	0				line		33
33	33	97	3.0	6	3/4	3/4	0						34
34	34	100	3.0	6	3/4	3/4	0						35
35	35	103	3.0	6	3/4	3/4	0				line		36
36	36	106	3.0	6	3/4	3/4	0						37
37	37	109	3.0	6	3/4	3/4	0						38
38	38	112	3.0	6	3/4	3/4	0						39
39	39	115	3.0	6	3/4	3/4	0						40
40	40	118	3.0	6	3/4	3/4	0						41
41	41	121	3.0	6	3/4	3/4	0						42
42	42	124	3.0	6	3/4	3/4	0						43
43	43	127	3.0	6	3/4	3/4	0				line		44
44	44	130	3.0	6	3/4	3/4	0						45
45	45	133	3.0	6	3/4	3/4	0						46
46	46	136	3.0	6	3/4	3/4	0				line		47
47	47	139	3.0	6	3/4	3/4	0						48
48	48	142	3.0	6	3/4	3/4	0						49
49	49	145	3.0	6	3/4	3/4	0				line		50
50	50	148	3.0	6	3/4	3/4	0						51
51	51	151	3.0	6	3/4	3/4	0				line		52
52	52	154	3.0	6	3/4	3/4	0						53
53	53	157	3.0	6	3/4	3/4	0						54
54	54	160	3.0	6	3/4	3/4	0				line		55
55	55	163	3.0	6	3/4	3/4	0						56
56	56	166	3.0	6	3/4	3/4	0						57
57	57	169	3.0	6	3/4	3/4	0					lastMeasure	-1
